Emitten,DER,ROA,Sales Growth,ROE,NPM,Category
AMAN,0.4,0.01,-3.797435,0.01,0.18,3
APLN,1.79,-0.02,18.184296,-0.06,-0.21,2
ASRI,1.35,-0.01,669.231018,-0.02,-0.09,2
ATAP,0.24,0.05,35.698101,0.07,0.11,3
BAPA,0.07,-0.03,-3.317679,-0.03,-1.14,4
BAPI,0.47,-0.01,-0.096221,-0.01,-1.43,4
BCIP,1.14,-0.01,-46.929469,-0.01,-0.16,2
BEST,0.42,-0.02,-84.809916,-0.03,-1.03,4
BKDP,0.73,-0.05,-9.498563,0.04,0.16,2
BKSL,0.61,0.02,2374.3049,0.04,0.42,3
BSDE,0.69,0.02,-7.213595,0.07,2.00,3
CPRI,0.13,-0.01,0.820829,-0.01,-0.37,4
CTRA,1.16,0.05,2408.626,0.11,0.32,3
DADA,1.00,0.03,-182.3169,0.05,0.73,3
DART,1.57,-0.06,-26.572531,-0.15,-1.86,5
DMAS,0.12,0.13,652.221301,0.15,0.65,1
DUTI,0.4,0.04,-546.164778,0.05,0.81,3
